INV,C_TYPE,C_PLANT,C_MARK,C_BODY,C_GROUP,N_CHASS,N_ENG,N_BODY,YEA_,N_PASS,D_PASS,SIGN,SIGN1,SIGN2,D_SIGN,D_EXPL,C_CLASS,C_COLOR,C_DUTY,C_OWNER,COST,SUBD,SUBC,YEAR_A,C_SOUR,N_SOUR,D_SOUR,C_STOR,N_STOR,D_STOR,N_ALOC,D_ALOC,D_TRANS,D_DEL,NORM_R,NORM_P,NORM_O,C_SFIN,C_BUY
1.1000000000000000e+01,"A(","C(","N7","D(","E)",,"1175608","2369246",1990,"ВУ 175965",,"0885рдб",,,,"02/22/90 00:00:00","F)","G5","H)","(A",3.1000000000000000e+03,"015","250",1991,"I*",,,"J/","3/4089","02/19/90 00:00:00","2","01/05/90 00:00:00","02/22/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
1.2000000000000000e+01,"A(","C(","N7","D(","E)",,"1182165","2371266",1990,"ВШ 230553",,"0242рдб",,,,"02/22/90 00:00:00","F)","G2",,"(V",3.1000000000000000e+03,"015","250",1991,"I*",,,"J/","3/4089","02/19/90 00:00:00","2","01/05/90 00:00:00","02/22/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
1.3000000000000000e+01,"A(","C(","N7","D(","E)",,"1182102","2370906",1990,"ВУ 973607",,"1235рда",,,"06/19/93 00:00:00","02/22/90 00:00:00","F)","G2",,"(X",3.1000000000000000e+03,"015","250",1991,"I*",,,"J/","3/4089","02/19/90 00:00:00","2","01/05/90 00:00:00","02/22/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
1.4000000000000000e+01,"A(","C(","N7","D(","E)",,"1182104","2370929",1990,,,"0377рда",,,,"02/22/90 00:00:00","F)",,,"(;",3.1000000000000000e+03,"015","250",1991,"I*",,,"J/","3/4089","02/19/90 00:00:00","2","01/05/90 00:00:00","02/22/90 00:00:00","04/25/90 00:00:00",2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
1.5000000000000000e+01,"A(","C(","N7","D(","E)",,"1178102","2367008",1990,"ВУ 171247",,"1590рдб",,,"07/28/90 00:00:00","02/23/90 00:00:00","F)",,,"(L",3.1000000000000000e+03,"015","250",1991,"I*",,,"J/","3/4089","02/19/90 00:00:00","2","01/05/90 00:00:00","02/23/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
1.6000000000000000e+01,"A(","C(","N7","D(","E)",,"1181417","2370917",1990,"ВШ 228973","02/26/90 00:00:00","0205рда",,,"07/07/92 00:00:00","02/22/90 00:00:00","F)","G,","H5","(3.",3.1000000000000000e+03,"015","250",1991,"I*","1/1273","04/02/90 00:00:00","J/","3/4089","02/19/90 00:00:00","2","01/05/90 00:00:00","03/06/92 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
1.7000000000000000e+01,"A(","C(","N7","D(","E)",,"1182116","2370957",1990,"ВУ 459512",,"0665рдб",,,,"02/23/90 00:00:00","F)",,,"(=",3.1000000000000000e+03,"015","250",1991,"I*",,,"J/","3/4090","02/19/90 00:00:00","2","01/05/90 00:00:00","02/23/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
1.8000000000000000e+01,"A(","C(","N7","D(","E)",,"1182103","2371205",1990,"ВШ 235173","04/06/90 00:00:00","0701рда",,,"11/23/90 00:00:00","04/03/90 00:00:00","F)","G,","H8","(20",3.1000000000000000e+03,"015","250",1991,"I*","1/1273","04/02/90 00:00:00","J/","3/4089","02/19/90 00:00:00","2","01/05/90 00:00:00","11/26/90 00:00:00",,2.9000000000000000e+03,1.1000000000000000e+01,,,">("
1.9000000000000000e+01,"A(","C)","NG","D(","E)","0115580","146748","1169056",1987,"ВФ 985026",,"1184рдб",,,,"02/19/90 00:00:00","F*",,,"(-",3.5000000000000000e+03,"015","250",1991,,,,"J1","001","05/16/89 00:00:00",,,"02/19/90 00:00:00",,2.0800000000000000e+03,1.3000000000000000e+01,,"*(",">)"
2.0000000000000000e+01,"A(","C*","OQ","D,","E)","0258599","0302461","5793",1990,"ВУ 981689",,"0142рдч",,,"07/21/90 00:00:00","03/19/90 00:00:00","F*",,,"(i",3.8500000000000000e+03,"015","250",1991,"I*",,,"J/","3/729","03/19/90 00:00:00","2","01/05/90 00:00:00","03/19/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
2.1000000000000000e+01,"A(","C*","OQ","D,","E)","0258290","0301213","5433",1990,"ВУ 973687",,"0591рдв",,,,"03/19/90 00:00:00","F*",,,"(S",3.8500000000000000e+03,"015","250",1991,"I*",,,"J/","3/728","03/19/90 00:00:00","2","01/05/90 00:00:00","03/19/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
2.2000000000000000e+01,"A(","C(","N3","D(","E)",,"1514330","2607263",1975,"ВШ 229091",,"1239рдб",,,,"03/25/90 00:00:00","F)",,"HL","(,)",,,,,"I-",,,,,,,,"03/25/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,,
2.3000000000000000e+01,"A(","C*","OQ","D,","E)","0258683","00300440","5873",1990,"ВШ 224590",,"1433рду",,,,"03/22/90 00:00:00","F*",,,"(>",3.8500000000000000e+03,"015","250",1991,"I*",,,"J/","3/824","03/21/90 00:00:00","2","01/05/90 00:00:00","03/22/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
2.4000000000000000e+01,"A(","C*","OQ","D,","E)","0258705","0301336","5905",1990,"ВШ 230602",,"1136ром",,,,"03/23/90 00:00:00","F*",,,"(Z",3.8500000000000000e+03,"015","250",1991,"I*",,,"J/","3/824","03/21/90 00:00:00","2","01/05/90 00:00:00","03/23/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
2.5000000000000000e+01,"A(","C*","OQ","D,","E)","0258709","00303345","5930",1990,"ВУ 972697",,"0401рдв",,,,"03/23/90 00:00:00","F*","G/",,"(_",3.8500000000000000e+03,"015","250",1991,"I*",,,"J/","3/824","03/21/90 00:00:00","2","01/05/90 00:00:00","03/26/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
2.6000000000000000e+01,"A(","C*","OQ","D,","E)","0258607","00301448","5817",1990,"ВУ 972946",,"0942рдх",,,,"03/23/90 00:00:00","F*","G1",,"(Y",3.8500000000000000e+03,"015","250",1991,"I*",,,"J/","3/824","03/21/90 00:00:00","2","01/05/90 00:00:00","03/23/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
2.7000000000000000e+01,"A(","C*","OQ","D,","E)","0234496","90906497","440",1990,"ВУ 973723",,"0558рдц",,,,"03/26/90 00:00:00","F*","G1",,"(4",3.8500000000000000e+03,"015","250",1991,"I*",,,"J/","3/824","03/21/90 00:00:00","2","01/05/90 00:00:00","03/26/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
2.8000000000000000e+01,"A,","C.","QГ","D0","E9","1250756","12971","61196",1990,"ВШ 235163",,"1835рдб",,,,"04/03/90 00:00:00","F)","G(",,"(1",,,,,"I*",,,"J/","3/977","04/03/90 00:00:00","2","01/05/90 00:00:00","04/03/90 00:00:00",,2.0800000000000000e+03,3.0000000000000000e+01,,,
2.9000000000000000e+01,"A6","C.","QГ","D0","E4","1250928","10341","0061208",1990,"ВШ 912818",,"1235рдч",,,,"04/03/90 00:00:00","F)",,,"(2)",,,,,"I*",,,"J/","3/977",,"2","01/05/90 00:00:00","07/27/93 00:00:00",,2.9000000000000000e+03,3.1000000000000000e+01,,,
3.0000000000000000e+01,"A(","C*","OQ","D-","E(","0260437","0306657",,1990,"ВУ 715836","04/14/90 00:00:00","0845рдб",,,"04/14/90 00:00:00","04/11/90 00:00:00","F*",,,"(a",4.1420000000000000e+03,"015","250",1991,"I*",,,"J-","222","04/05/90 00:00:00","2","01/05/90 00:00:00","04/11/90 00:00:00",,4.1600000000000000e+03,1.8500000000000000e+01,,,">)"
3.1000000000000000e+01,"A6","C)","Pv","D3","E8","0124299","1588526","103078",1978,"ВК 524756","06/14/79 00:00:00","0474рдб",,,"01/25/91 00:00:00","04/30/90 00:00:00",,,,"(-",0.0000000000000000e+00,,,,,,,"J9","приемо-сдат.акт",,"2","01/05/90 00:00:00","04/30/90 00:00:00",,0.0000000000000000e+00,0.0000000000000000e+00,,,
3.2000000000000000e+01,"A(","C(","N7","D(","E)",,"1270974","2403736",1990,"ВУ 978811",,"0749рдб",,,,"04/29/90 00:00:00","F)",,,"(P",2.5800000000000000e+03,"015","250",1991,"I*",,,"J/","3/1416","04/24/90 00:00:00","2","01/05/90 00:00:00","04/29/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
3.3000000000000000e+01,"A(","C(","N7","D(","E)",,"1270465","2405394",1990,"ВШ 232152","04/27/90 00:00:00","0979рдб",,,"10/30/90 00:00:00","04/24/90 00:00:00","F)","G2","H(","(3)",2.5800000000000000e+03,"015","250",1991,"I*","1/1273","04/02/90 00:00:00","J/","3/1375","04/23/90 00:00:00","2","01/05/90 00:00:00","04/08/92 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
3.4000000000000000e+01,"A(","C(","N7","D(","E)",,"1289557","2404504",1990,"ВШ 232151",,"0979рдб",,,"11/16/90 00:00:00","04/24/90 00:00:00","F)",,"H7","(3.",2.5800000000000000e+03,"015","250",1991,"I*",,,"J/","3/1375","04/23/90 00:00:00","2","01/05/90 00:00:00","03/06/92 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
3.5000000000000000e+01,"A(","C(","N7","D(","E)",,"1283098","2413464",1990,"ВУ 715864","04/27/90 00:00:00","0826рдг",,,"04/27/90 00:00:00","04/24/90 00:00:00","F)",,,"(a",2.5800000000000000e+03,"015","250",1991,"I*",,,"J/","3/1375","04/23/90 00:00:00","2","01/05/90 00:00:00","04/24/90 00:00:00","05/17/91 00:00:00",2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
3.6000000000000000e+01,"A(","C(","N7","D(","E)",,"1283255","2412606",1990,"ВШ 229621",,"1140рдб",,,,"04/24/90 00:00:00","F)","G5","H+","(A",2.5800000000000000e+03,"015","250",1991,"I*",,,"J/","3/1375","04/23/92 00:00:00","2","01/05/90 00:00:00","04/24/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,,">("
3.7000000000000000e+01,"A(","C(","N7","D(","E)",,"1283202","2413433",1990,"0227193","06/10/92 00:00:00","0426рдб",,,,"07/06/90 00:00:00","F)",,,"(-",2.5800000000000000e+03,"015","250",1991,"I*",,,"J/","3/1375","04/23/90 00:00:00","2","01/05/90 00:00:00","07/06/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
3.8000000000000000e+01,"A(","C(","N7","D(","E)",,"1268574","2403707",1990,"ВШ 232154","04/27/90 00:00:00","1138рдб",,,"10/24/90 00:00:00","04/24/90 00:00:00","F)","G(","HZ","(3(",2.5800000000000000e+03,"015","250",1991,"I*","1/1273","04/02/90 00:00:00","J/","3/1375","04/23/90 00:00:00","2","01/05/90 00:00:00","03/04/92 00:00:00",,2.9000000000000000e+03,1.1000000000000000e+01,,,">("
3.9000000000000000e+01,"A(","C(","N7","D(","E)",,"1283088","2413510",1990,"ВШ 232148","04/27/90 00:00:00","1013рдб",,,"04/27/90 00:00:00","04/24/90 00:00:00","F)","G,","H@","(5",2.5800000000000000e+03,"015","250",1991,"I*","1/1273","04/02/90 00:00:00","J/","3/1375","04/23/90 00:00:00","2","01/05/90 00:00:00","06/12/91 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,,">("
4.0000000000000000e+01,"A(","C(","N7","D(","E)",,"1270445","2405374",1990,"ВШ 232155","04/27/90 00:00:00","0861рдб",,,"11/23/90 00:00:00","04/26/90 00:00:00","F)","G2","HA","(Y",2.5800000000000000e+03,"015","250",1991,"I*","1/1273","04/02/90 00:00:00","J/","3/1375","04/23/90 00:00:00","2","01/05/90 00:00:00","03/04/92 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
4.1000000000000000e+01,"A(","C(","N*","D(","E)",,"0092425","089600",1990,"ВШ 235544",,"0131рда",,,"03/25/92 00:00:00","04/25/90 00:00:00","F)",,,"(;",5.1000000000000000e+03,"015","250",1991,"I-",,,"J4","приемо-сдат.акт",,"2","01/05/90 00:00:00","04/25/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">)"
4.2000000000000000e+01,"A(","C(","N7","D(","E+",,"1291388","2415892",1990,"ВШ 234265",,"0351рда",,,,"04/29/90 00:00:00","F)",,"H8","(21",2.5800000000000000e+03,"015","250",1991,"I*",,,"J/","3/1498","04/27/90 00:00:00","2","01/05/90 00:00:00","04/29/90 00:00:00",,2.9000000000000000e+03,1.1000000000000000e+01,,,">("
4.3000000000000000e+01,"A(","C(","N7","D(","E)",,"1284940","2415806",1990,"ВУ 459619",,"0488рдб",,,,"04/29/90 00:00:00","F)",,,"(b",2.5800000000000000e+03,"015","250",1991,"I*",,,"J/","3/1498","04/27/90 00:00:00","2","01/05/90 00:00:00","04/29/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
4.4000000000000000e+01,"A(","C(","N7","D(","E)",,"1185392","12374254",1990,"ВШ 235409",,"0356рдв",,,"03/27/92 00:00:00","04/30/90 00:00:00","F)",,,"(:",2.5800000000000000e+03,"015","250",1991,"I*",,,"J/","3/1498","04/27/90 00:00:00","2","01/05/90 00:00:00","04/30/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
4.5000000000000000e+01,"A(","C(","N7","D(","E)",,"1270296","2404812",1990,"ВШ 910266","02/11/91 00:00:00","0910рдб",,,"02/11/91 00:00:00","04/30/90 00:00:00","F)","G2","H)","(6",2.5800000000000000e+03,"015","250",1991,"I*","1/1273","04/02/90 00:00:00","J/","3/1498","04/27/90 00:00:00","2","01/05/90 00:00:00","04/30/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
4.6000000000000000e+01,"A(","C(","N7","D(","E)",,"1284999","2415837",1990,"ВТ 311971",,"0195рос",,,,"05/04/90 00:00:00","F)","G(",,"(E",2.5800000000000000e+03,"015","250",1991,"I*",,,"J/","3/1498","04/27/90 00:00:00","2","01/05/90 00:00:00","05/04/90 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
4.7000000000000000e+01,"A(","C(","N7","D(","E)",,"1284558","1284558",1990,,,"0502рдв",,,,"05/16/90 00:00:00","F)","G*",,"(8",2.5800000000000000e+03,"015","250",1991,"I*",,,"J/","3/1498","04/27/90 00:00:00","2","01/05/90 00:00:00","12/11/92 00:00:00",,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
4.8000000000000000e+01,"A(","C(","N7","D(","E)",,"1282288","2412309",1990,"ВШ 234267","05/11/90 00:00:00","0325рда",,,"12/25/92 00:00:00","11/24/90 00:00:00","F)","G(",,"(]",2.5800000000000000e+03,"015","250",1991,"I*",,,"J/","3/1498","04/27/90 00:00:00","2","01/05/90 00:00:00",,,2.0800000000000000e+03,1.0000000000000000e+01,,"*(",">("
4.9000000000000000e+01,"A6","C*","P(","D.","E0","026665","91210793",,1990,"ВУ 458806","02/23/91 00:00:00","1071рдб",,,"02/23/91 00:00:00","02/01/91 00:00:00",,"G,","H<","(X",4.8830000000000000e+03,"015","250",1991,"I*","1/1273","04/02/90 00:00:00","J-","281","04/23/90 00:00:00","2","01/25/90 00:00:00","02/01/91 00:00:00",,2.9000000000000000e+03,1.9000000000000000e+01,,"*(",">)"
5.0000000000000000e+01,"A(","C*","OQ","D-","E*","0255661","204137",,1990,"ВШ 232215",,"0596рдб",,,,"04/30/90 00:00:00","F*","G1","H1","(2)",4.8830000000000000e+03,"015","250",1991,"I*",,,"J-","286","04/25/90 00:00:00","2","01/05/90 00:00:00","04/30/90 00:00:00",,2.9000000000000000e+03,1.8500000000000000e+01,,,">("
5.1000000000000000e+01,"A(","C*","OQ","D-","E*","0255618","0207211",,1990,"ВШ 232211",,"0595рдб",,,,"04/30/90 00:00:00","F*","G1","H1","(2)",4.8830000000000000e+03,"015","250",1991,"I*",,,"J-","286","04/25/90 00:00:00","2","01/05/90 00:00:00","04/30/90 00:00:00",,2.9000000000000000e+03,1.8500000000000000e+01,,,">)"
5.2000000000000000e+01,"A(","C*","OQ","D,","E)","0266717","00500542","4489",1990,"ВШ234487",,"1093рдб",,,,"05/31/90 00:00:00","F*","G1",,"(-",4.1340000000000000e+03,"015","250",1991,"I*",,,"J-","286","04/25/90 00:00:00","2","01/05/90 00:00:00","05/31/90 00:00:00",,2.0800000000000000e+03,0.0000000000000000e+00,,,">("
5.3000000000000000e+01,"A(","C*","OQ","D,","E)","10262920","00401897","450",1990,"ВУ 972969",,"1039рдб",,,,"04/20/90 00:00:00","F*","G1",,"(6",4.1340000000000000e+03,"015","250",1991,"I*",,,"J/","3/1417","04/24/90 00:00:00","2","01/05/90 00:00:00","04/20/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
5.4000000000000000e+01,"A(","C*","OQ","D,","E)","10262886","00402011","305",1990,"ВШ 222835",,"0171рдв",,,,"04/20/90 00:00:00","F*","G1",,"(T",4.1340000000000000e+03,"015","250",1991,"I*",,,"J/","3/1417","04/24/90 00:00:00","2","01/05/90 00:00:00","04/20/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
5.5000000000000000e+01,"A(","C*","OQ","D,","E)","10262575","00402506","80",1990,"ВШ 229630",,"0875рдб",,,"04/08/93 00:00:00","04/20/90 00:00:00","F*",,,"(R",4.1340000000000000e+03,"015","250",1991,"I*",,,"J/","3/1417","04/24/90 00:00:00","2","01/05/90 00:00:00","04/20/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
5.6000000000000000e+01,"A(","C*","OQ","D,","E)","10263036","00402720","484",1990,"ВУ 973832",,"1325рдб",,,,"04/20/90 00:00:00","F*","G1",,"(4",4.1340000000000000e+03,"015","250",1991,"I*",,,"J/","3/1417","04/24/90 00:00:00","2","01/05/90 00:00:00","04/20/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
5.7000000000000000e+01,"A(","C*","OQ","D,","E)","10261641","00310090","9015",1990,"ВУ 978806",,"0453рдц",,,,"04/26/90 00:00:00","F*",,,"(H",4.1340000000000000e+03,"015","250",1991,"I*",,,"J/","3/1417","04/24/90 00:00:00","2","01/05/90 00:00:00","04/26/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
5.8000000000000000e+01,"A(","C*","OQ","D,","E)","10260269","00307632","7585",1990,"ВШ 231272","10/15/90 00:00:00","0792рдб",,,"10/15/90 00:00:00","04/26/90 00:00:00","F*",,,"(J",4.1340000000000000e+03,"015","250",1991,"I*",,,"J/","3/1417","04/24/90 00:00:00","2","01/05/90 00:00:00","04/26/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
5.9000000000000000e+01,"A(","C*","OQ","D,","E)","10261655","00310483","3206",1990,"ВУ 171372",,"1354рдб",,,,"04/26/90 00:00:00","F*",,,"(D",4.1340000000000000e+03,"015","250",1991,"I*",,,"J/","3/1417","04/24/90 00:00:00","2","01/05/90 00:00:00","04/26/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
6.0000000000000000e+01,"A(","C*","OQ","D,","E)","10262480","00401549","9968",1990,"ВШ 231018","06/08/90 00:00:00","0966рдб",,,"06/08/90 00:00:00","04/26/90 00:00:00","F*","G1","H)","(G",4.1340000000000000e+03,"015","250",1991,"I*","1/1273","04/02/90 00:00:00","J/","3/1417","04/24/90 00:00:00","2","01/05/90 00:00:00","04/26/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
6.1000000000000000e+01,"A(","C*","OQ","D-","E(","0259850","00303074",,1990,"ВШ 226015",,"1080рдб",,,,"05/14/90 00:00:00","F*",,"H*","(5",4.8830000000000000e+03,"015","250",1991,"I*",,,"J-","312","05/10/90 00:00:00","2","01/05/90 00:00:00","05/14/90 00:00:00",,4.1600000000000000e+03,1.8500000000000000e+01,,"*(",">("
6.2000000000000000e+01,"A(","C*","OQ","D-","E*","0259867","0303051",,1990,"ВШ 234351",,"0515рдб",,,,"05/14/90 00:00:00","F*","G/","H1","(2)",4.8830000000000000e+03,"015","250",1991,"I*",,,"J-","312","05/10/90 00:00:00","2","01/05/90 00:00:00","05/14/90 00:00:00",,2.9000000000000000e+03,1.8500000000000000e+01,,,">("
6.3000000000000000e+01,"A6","C-","QW","D.","E?",,"10398","201511",1990,"ВШ 232141",,"0270рдб",,,,"04/26/90 00:00:00","F(",,"H7","(3)",4.4513999999999996e+03,"015","250",1991,"I*",,,"J/","3/1580","05/10/90 00:00:00","2","01/05/90 00:00:00","10/18/90 00:00:00",,4.1600000000000000e+03,1.7000000000000000e+01,,,">)"
6.4000000000000000e+01,"A(","C*","OQ","D,","E)","0266726","00500280","4486",1990,"ВШ 222880",,"1344рдб",,,,"05/28/90 00:00:00","F*","G2",,"(N",4.1340000000000000e+03,"015","250",1991,"I*",,,"J/","3/1698","05/24/90 00:00:00","2","01/05/90 00:00:00","05/28/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">("
6.5000000000000000e+01,"A(","C*","OQ","D,","E)","0266788","00500832","4563",1990,"ВШ 234817",,"0354рдб",,,,"05/28/90 00:00:00","F*",,,"(Y",4.1340000000000000e+03,"015","250",1991,"I*",,,"J/","3/1698","05/24/90 00:00:00","2","05/24/90 00:00:00","05/28/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">("
6.6000000000000000e+01,"A(","C*","OQ","D,","E)","0268575","00505498","6397",1990,"ВШ 223335","06/01/90 00:00:00","0902рдб",,,"06/01/90 00:00:00","05/28/90 00:00:00","F*",,,"(F",4.1340000000000000e+03,"015","250",1991,"I*",,,"J/","3/1698","05/24/90 00:00:00","2","01/05/90 00:00:00","05/28/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">("
6.7000000000000000e+01,"A(","C*","OQ","D,","E)","0266721","00500443","4488",1990,"ВШ 229269",,"1006рдц",,,,"06/05/90 00:00:00","F*",,,"(2.",4.1340000000000000e+03,"015","250",1991,"I*",,,"J/","3/1698","05/24/90 00:00:00","2","01/05/90 00:00:00","06/05/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">("
6.8000000000000000e+01,"A(","C*","OQ","D,","E)","0274380","00608397","2776",1990,"ВШ 226177",,"0427",,,,"07/16/90 00:00:00","F*",,,"(5",4.1340000000000000e+03,"015","250",1991,"I*",,,"J/","3/1698","05/24/90 00:00:00","2","01/05/90 00:00:00","07/16/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">("
6.9000000000000000e+01,"A(","C*","OQ","D,","E)","0262923","00401881","436",1990,"ВШ 223316",,"0562рдх",,,,"04/26/90 00:00:00","F*",,,"(f",4.1340000000000000e+03,"015","250",1991,"I*",,,"J/","3/1338","04/19/90 00:00:00","2","01/05/90 00:00:00","04/26/90 00:00:00",,2.0800000000000000e+03,1.6000000000000000e+01,,,">)"
